Ticket_ID,Property_Cluster,Building_Type,Issue_Category,Maintenance_Type,Asset_Criticality,Priority_Level,Created_Timestamp,First_Response_Timestamp,Resolved_Timestamp,Vendor_ID,Vendor_Tier,SLA_Target_Hours,SLA_Breached,Root_Cause_Tag,Resolution_Time_Hours,Response_Time_Minutes,Delay_Bucket,Vendor_Reliability_Index
TKT-100026,C Campus,Office Tower,Access Control,Emergency,High,High,15-11-2025 00:38,15-11-2025 01:35,36:54.2,V-12,Preferred,12,False,Misdiagnosis,3.97,57,On Time,0.8
TKT-100027,C Campus,Mall,HVAC,Emergency,High,High,25-07-2025 17:56,25-07-2025 18:28,45:40.6,V-08,Preferred,8,False,Technician Delay,4.82,32,On Time,0.8
TKT-100028,A Campus,Hospital,Access Control,Preventive,Low,Low,19-12-2025 16:21,19-12-2025 18:01,25:09.9,V-06,Standard,12,False,Repeat Failure,10.05,100,On Time,0.68
TKT-100029,A Campus,Mall,Elevator,Emergency,High,High,29-11-2025 22:11,30-11-2025 00:10,46:47.2,V-13,Backup,4,True,Technician Delay,4.59,119,Minor Delay,0.44
TKT-100030,B Campus,Mall,Elevator,Preventive,Low,Low,06-12-2025 13:34,06-12-2025 14:33,10:44.1,V-09,Preferred,4,False,Part Unavailable,2.61,59,On Time,0.88
TKT-100031,B Campus,Hospital,HVAC,Preventive,Medium,Medium,16-09-2025 14:38,16-09-2025 16:06,49:47.4,V-09,Standard,8,True,Misdiagnosis,11.19,88,Minor Delay,0.59
TKT-100032,A Campus,Office Tower,HVAC,Preventive,Medium,Medium,19-11-2025 11:15,19-11-2025 12:05,58:59.8,V-14,Preferred,8,False,Technician Delay,5.72,50,On Time,0.89
TKT-100033,C Campus,Mall,HVAC,Preventive,Medium,Medium,22-09-2025 17:59,22-09-2025 19:03,16:04.4,V-17,Backup,8,True,Technician Delay,14.28,64,Major Delay,0.4
TKT-100034,C Campus,Office Tower,Electrical,Preventive,Medium,Medium,17-09-2025 03:19,17-09-2025 04:07,33:58.6,V-19,Preferred,6,False,Repeat Failure,3.24,48,On Time,0.85
TKT-100035,B Campus,IT Park,Access Control,Emergency,High,High,25-08-2025 17:06,25-08-2025 18:04,15:15.7,V-16,Standard,12,False,Technician Delay,6.14,58,On Time,0.65
TKT-100036,A Campus,IT Park,HVAC,Emergency,High,High,09-10-2025 02:10,09-10-2025 03:37,01:23.4,V-07,Standard,8,True,Technician Delay,8.84,87,Minor Delay,0.57
TKT-100037,A Campus,IT Park,HVAC,Emergency,High,High,01-10-2025 06:17,01-10-2025 07:56,39:29.3,V-16,Backup,8,True,Part Unavailable,13.36,99,Major Delay,0.38
TKT-100038,A Campus,Mall,HVAC,Preventive,Medium,Medium,21-12-2025 08:05,21-12-2025 09:53,42:19.0,V-15,Backup,8,True,Part Unavailable,13.61,108,Major Delay,0.44
TKT-100039,C Campus,Mall,Plumbing,Preventive,Medium,Medium,27-09-2025 15:15,27-09-2025 15:53,00:48.9,V-20,Preferred,10,True,Approval Pending,11.75,38,Minor Delay,0.65
TKT-100040,C Campus,Office Tower,Electrical,Preventive,Medium,Medium,25-09-2025 14:06,25-09-2025 15:01,50:56.3,V-17,Standard,6,False,Misdiagnosis,5.74,55,On Time,0.67
TKT-100041,C Campus,Mall,HVAC,Preventive,Low,Low,24-09-2025 09:57,24-09-2025 10:31,05:53.2,V-13,Preferred,8,False,Technician Delay,7.14,34,On Time,0.8
TKT-100042,A Campus,Mall,HVAC,Preventive,Medium,Medium,19-09-2025 13:25,19-09-2025 14:36,28:35.8,V-23,Standard,8,False,Part Unavailable,7.05,71,On Time,0.74
TKT-100043,C Campus,Office Tower,Electrical,Emergency,High,High,02-07-2025 03:28,02-07-2025 04:35,55:37.0,V-20,Standard,6,False,Technician Delay,5.45,67,On Time,0.71
TKT-100044,B Campus,Mall,Plumbing,Preventive,Medium,Medium,23-09-2025 15:08,23-09-2025 16:39,21:30.9,V-05,Backup,10,True,Part Unavailable,13.22,91,Minor Delay,0.35
TKT-100045,C Campus,IT Park,Electrical,Emergency,High,High,23-10-2025 22:25,24-10-2025 00:01,52:14.0,V-11,Backup,6,False,Repeat Failure,4.45,96,On Time,0.56
TKT-100046,B Campus,Hospital,HVAC,Preventive,Medium,Medium,25-11-2025 19:35,25-11-2025 20:44,10:44.8,V-02,Standard,8,False,Misdiagnosis,6.59,69,On Time,0.69
TKT-100047,A Campus,IT Park,Electrical,Emergency,High,High,24-11-2025 10:58,24-11-2025 11:29,11:47.2,V-19,Preferred,6,False,Repeat Failure,3.22,31,On Time,0.86
TKT-100048,B Campus,Hospital,Access Control,Preventive,Medium,Medium,02-08-2025 13:57,02-08-2025 15:05,28:22.7,V-01,Preferred,12,False,Technician Delay,7.52,68,On Time,0.85
TKT-100049,C Campus,Office Tower,Plumbing,Preventive,Low,Low,30-12-2025 19:34,30-12-2025 21:19,59:34.5,V-22,Backup,10,True,Misdiagnosis,14.42,105,Minor Delay,0.35
TKT-100050,A Campus,IT Park,Plumbing,Emergency,High,High,12-10-2025 10:46,12-10-2025 11:43,44:31.5,V-14,Preferred,10,False,Repeat Failure,8.97,57,On Time,0.84
TKT-100051,C Campus,Office Tower,Plumbing,Emergency,High,High,23-09-2025 13:31,23-09-2025 14:12,34:32.2,V-14,Preferred,10,False,Misdiagnosis,6.06,41,On Time,0.8
TKT-100052,C Campus,Hospital,HVAC,Emergency,High,High,13-12-2025 09:16,13-12-2025 10:16,43:16.4,V-13,Standard,8,True,Approval Pending,10.45,60,Minor Delay,0.54
TKT-100053,A Campus,Office Tower,Plumbing,Emergency,High,High,05-08-2025 07:26,05-08-2025 08:42,27:34.9,V-01,Standard,10,False,Technician Delay,8.02,76,On Time,0.66
TKT-100054,A Campus,IT Park,Electrical,Preventive,Medium,Medium,17-11-2025 19:47,17-11-2025 20:58,23:38.7,V-03,Standard,6,True,Misdiagnosis,7.6,71,Minor Delay,0.55
TKT-100055,A Campus,Office Tower,Plumbing,Preventive,Medium,Medium,29-08-2025 11:01,29-08-2025 12:08,53:46.5,V-15,Preferred,10,False,Approval Pending,6.87,67,On Time,0.85
TKT-100056,B Campus,Hospital,HVAC,Emergency,High,High,24-07-2025 10:17,24-07-2025 12:03,07:43.6,V-16,Backup,8,False,Approval Pending,6.83,106,On Time,0.55
TKT-100057,C Campus,Hospital,Elevator,Preventive,Medium,Medium,09-12-2025 16:19,09-12-2025 17:16,57:16.3,V-02,Standard,4,True,Technician Delay,4.63,57,Minor Delay,0.51
TKT-100058,B Campus,Mall,Plumbing,Preventive,Medium,Medium,20-07-2025 22:05,20-07-2025 22:35,40:26.8,V-16,Preferred,10,False,Misdiagnosis,7.58,30,On Time,0.88
TKT-100059,A Campus,Office Tower,HVAC,Emergency,High,High,15-07-2025 09:14,15-07-2025 10:35,06:20.9,V-04,Standard,8,True,Part Unavailable,9.86,81,Minor Delay,0.51
TKT-100060,B Campus,Mall,Access Control,Preventive,Low,Low,12-09-2025 20:41,12-09-2025 22:09,41:23.0,V-24,Backup,12,False,Approval Pending,8.0,88,On Time,0.58
TKT-100061,A Campus,Mall,HVAC,Preventive,Low,Low,06-11-2025 05:49,06-11-2025 06:24,02:45.8,V-10,Preferred,8,False,Repeat Failure,4.23,35,On Time,0.89
TKT-100062,A Campus,Hospital,Access Control,Preventive,Low,Low,14-11-2025 12:09,14-11-2025 13:08,37:09.5,V-07,Preferred,12,False,Approval Pending,6.46,59,On Time,0.83
TKT-100063,A Campus,Mall,Elevator,Preventive,Medium,Medium,24-12-2025 09:30,24-12-2025 10:17,15:44.3,V-10,Preferred,4,False,Misdiagnosis,2.76,47,On Time,0.82
TKT-100064,A Campus,Office Tower,Access Control,Preventive,Medium,Medium,13-11-2025 20:59,13-11-2025 22:09,28:39.8,V-11,Standard,12,False,Part Unavailable,4.48,70,On Time,0.65
TKT-100065,B Campus,IT Park,Plumbing,Preventive,Low,Low,14-08-2025 10:51,14-08-2025 11:57,13:03.5,V-06,Preferred,10,True,Technician Delay,10.35,66,Minor Delay,0.67
TKT-100066,C Campus,Office Tower,Elevator,Preventive,Medium,Medium,05-08-2025 05:48,05-08-2025 07:10,05:17.5,V-04,Standard,4,True,Approval Pending,4.29,82,Minor Delay,0.57
TKT-100067,B Campus,Office Tower,Electrical,Emergency,High,High,25-08-2025 23:11,26-08-2025 00:38,47:56.3,V-25,Standard,6,True,Misdiagnosis,7.61,87,Minor Delay,0.53
TKT-100068,C Campus,IT Park,Elevator,Preventive,Low,Low,28-09-2025 16:57,28-09-2025 18:08,01:26.6,V-09,Standard,4,True,Technician Delay,4.06,71,Minor Delay,0.51
TKT-100069,A Campus,Hospital,Elevator,Preventive,Medium,Medium,19-12-2025 01:02,19-12-2025 02:31,46:26.7,V-01,Standard,4,True,Misdiagnosis,5.73,89,Minor Delay,0.51
TKT-100070,B Campus,IT Park,Elevator,Preventive,Medium,Medium,11-12-2025 09:14,11-12-2025 09:51,28:27.9,V-09,Preferred,4,False,Part Unavailable,3.24,37,On Time,0.83
TKT-100071,B Campus,Office Tower,Plumbing,Emergency,High,High,27-09-2025 16:46,27-09-2025 18:06,35:26.0,V-25,Standard,10,False,Misdiagnosis,9.81,80,On Time,0.68
TKT-100072,B Campus,Hospital,HVAC,Preventive,Medium,Medium,24-08-2025 22:07,24-08-2025 22:56,40:31.4,V-11,Preferred,8,True,Part Unavailable,8.55,49,Minor Delay,0.66
TKT-100073,C Campus,Office Tower,Elevator,Preventive,Medium,Medium,29-12-2025 03:24,29-12-2025 04:14,25:16.4,V-11,Preferred,4,False,Misdiagnosis,3.01,50,On Time,0.8
TKT-100074,B Campus,Office Tower,Elevator,Emergency,High,High,06-11-2025 21:00,06-11-2025 22:35,49:24.3,V-04,Standard,4,False,Part Unavailable,2.81,95,On Time,0.67
TKT-100075,A Campus,Office Tower,HVAC,Preventive,Medium,Medium,18-11-2025 06:49,18-11-2025 07:43,42:21.7,V-23,Standard,8,False,Misdiagnosis,6.87,54,On Time,0.68
TKT-100076,C Campus,IT Park,Plumbing,Preventive,Low,Low,13-12-2025 12:11,13-12-2025 13:39,00:41.5,V-02,Standard,10,False,Technician Delay,8.81,88,On Time,0.65
TKT-100077,A Campus,Mall,Elevator,Emergency,High,High,14-08-2025 04:09,14-08-2025 04:44,48:20.9,V-01,Preferred,4,True,Part Unavailable,4.64,35,Minor Delay,0.74
TKT-100078,B Campus,IT Park,HVAC,Preventive,Low,Low,08-09-2025 14:33,08-09-2025 15:41,37:04.8,V-20,Standard,8,False,Misdiagnosis,7.06,68,On Time,0.68
TKT-100079,C Campus,Mall,Electrical,Emergency,High,High,25-12-2025 06:05,25-12-2025 07:12,10:20.4,V-10,Preferred,6,False,Technician Delay,5.08,67,On Time,0.8
TKT-100080,C Campus,Mall,Electrical,Preventive,Medium,Medium,24-09-2025 18:36,24-09-2025 19:43,15:31.0,V-13,Standard,6,False,Technician Delay,4.65,67,On Time,0.67
TKT-100081,A Campus,Mall,Access Control,Preventive,Medium,Medium,20-10-2025 01:21,20-10-2025 02:28,47:29.0,V-19,Standard,12,False,Misdiagnosis,7.44,67,On Time,0.65
TKT-100082,C Campus,IT Park,Electrical,Emergency,High,High,09-12-2025 17:18,09-12-2025 18:06,44:58.1,V-25,Preferred,6,False,Misdiagnosis,3.44,48,On Time,0.8
TKT-100083,C Campus,Mall,HVAC,Emergency,High,High,23-12-2025 10:09,23-12-2025 11:19,27:15.5,V-10,Preferred,8,False,Part Unavailable,7.29,70,On Time,0.84
TKT-100084,C Campus,Office Tower,Elevator,Preventive,Medium,Medium,08-08-2025 23:46,09-08-2025 00:39,36:37.8,V-16,Standard,4,False,Part Unavailable,3.84,53,On Time,0.7
TKT-100085,C Campus,Hospital,Electrical,Preventive,Medium,Medium,29-09-2025 22:34,29-09-2025 23:08,36:22.4,V-18,Preferred,6,True,Technician Delay,7.02,34,Minor Delay,0.69
TKT-100086,A Campus,Office Tower,Electrical,Preventive,Medium,Medium,21-08-2025 08:27,21-08-2025 09:46,55:27.6,V-12,Standard,6,False,Part Unavailable,5.46,79,On Time,0.73
TKT-100087,C Campus,Mall,Electrical,Preventive,Medium,Medium,05-07-2025 20:37,05-07-2025 22:01,22:54.5,V-23,Standard,6,True,Misdiagnosis,6.76,84,Minor Delay,0.55
TKT-100088,C Campus,Office Tower,Plumbing,Emergency,High,High,28-07-2025 03:24,28-07-2025 03:56,27:20.8,V-15,Preferred,10,False,Misdiagnosis,7.05,32,On Time,0.84
TKT-100089,C Campus,Office Tower,HVAC,Preventive,Medium,Medium,19-12-2025 22:19,19-12-2025 23:45,40:26.7,V-07,Backup,8,True,Approval Pending,11.35,86,Minor Delay,0.37
TKT-100090,B Campus,Mall,Electrical,Preventive,Medium,Medium,20-07-2025 07:01,20-07-2025 08:29,56:09.1,V-15,Standard,6,True,Technician Delay,8.91,88,Minor Delay,0.58
TKT-100091,C Campus,Mall,Access Control,Preventive,Medium,Medium,10-07-2025 19:42,10-07-2025 21:32,35:55.4,V-19,Backup,12,False,Repeat Failure,10.89,110,On Time,0.56
TKT-100092,A Campus,Hospital,HVAC,Emergency,High,High,01-12-2025 03:20,01-12-2025 04:28,58:27.7,V-22,Preferred,8,False,Part Unavailable,3.63,68,On Time,0.89
TKT-100093,A Campus,IT Park,HVAC,Preventive,Medium,Medium,01-12-2025 09:35,01-12-2025 10:20,09:51.4,V-03,Preferred,8,False,Technician Delay,6.57,45,On Time,0.82
TKT-100094,B Campus,Hospital,Elevator,Emergency,High,High,24-10-2025 06:41,24-10-2025 07:32,45:46.1,V-10,Standard,4,True,Part Unavailable,5.08,51,Minor Delay,0.52
TKT-100095,C Campus,IT Park,HVAC,Preventive,Medium,Medium,02-10-2025 00:13,02-10-2025 01:52,28:54.8,V-20,Standard,8,False,Repeat Failure,7.26,99,On Time,0.72
TKT-100096,A Campus,Mall,Plumbing,Preventive,Low,Low,30-10-2025 05:31,30-10-2025 06:41,52:08.9,V-14,Preferred,10,False,Technician Delay,7.34,70,On Time,0.88
TKT-100097,C Campus,IT Park,Elevator,Preventive,Low,Low,17-11-2025 23:21,18-11-2025 01:16,09:33.0,V-04,Backup,4,True,Technician Delay,4.8,115,Minor Delay,0.39
TKT-100098,B Campus,Hospital,Electrical,Preventive,Medium,Medium,11-09-2025 16:22,11-09-2025 17:01,00:16.1,V-12,Preferred,6,False,Repeat Failure,4.64,39,On Time,0.87
TKT-100099,C Campus,IT Park,Elevator,Preventive,Medium,Medium,18-10-2025 01:38,18-10-2025 02:44,07:59.4,V-02,Standard,4,True,Misdiagnosis,6.5,66,Major Delay,0.55
TKT-100100,C Campus,Hospital,HVAC,Preventive,Low,Low,21-07-2025 02:48,21-07-2025 04:09,07:00.6,V-04,Standard,8,True,Misdiagnosis,8.3,81,Minor Delay,0.55
TKT-100101,C Campus,Mall,Electrical,Preventive,Low,Low,12-12-2025 02:42,12-12-2025 03:47,30:51.8,V-23,Preferred,6,True,Part Unavailable,6.81,65,Minor Delay,0.7
TKT-100102,A Campus,Mall,Access Control,Emergency,High,High,14-11-2025 10:48,14-11-2025 11:37,43:31.0,V-24,Preferred,12,False,Repeat Failure,5.91,49,On Time,0.8
TKT-100103,A Campus,IT Park,Access Control,Preventive,Medium,Medium,11-08-2025 18:35,11-08-2025 19:44,03:47.2,V-03,Standard,12,False,Approval Pending,8.47,69,On Time,0.74
TKT-100104,A Campus,Mall,HVAC,Preventive,Medium,Medium,08-11-2025 20:55,08-11-2025 21:45,09:18.1,V-04,Standard,8,False,Misdiagnosis,6.23,50,On Time,0.69
TKT-100105,B Campus,IT Park,Elevator,Preventive,Medium,Medium,09-11-2025 16:43,09-11-2025 17:50,54:32.1,V-10,Preferred,4,False,Approval Pending,3.18,67,On Time,0.86
TKT-100106,A Campus,Hospital,HVAC,Preventive,Medium,Medium,02-09-2025 17:09,02-09-2025 17:46,26:59.9,V-22,Preferred,8,False,Repeat Failure,3.29,37,On Time,0.84
TKT-100107,A Campus,Office Tower,Electrical,Emergency,High,High,23-09-2025 16:55,23-09-2025 17:26,35:17.2,V-10,Preferred,6,False,Misdiagnosis,2.66,31,On Time,0.88
TKT-100108,B Campus,IT Park,Plumbing,Emergency,High,High,03-08-2025 08:59,03-08-2025 10:08,06:12.2,V-13,Preferred,10,False,Misdiagnosis,7.12,69,On Time,0.81
TKT-100109,A Campus,Office Tower,HVAC,Preventive,Low,Low,22-11-2025 19:42,22-11-2025 20:48,18:07.8,V-25,Standard,8,False,Part Unavailable,5.6,66,On Time,0.69
TKT-100110,B Campus,Mall,HVAC,Preventive,Low,Low,20-07-2025 23:06,20-07-2025 23:45,16:14.8,V-21,Preferred,8,False,Approval Pending,5.17,39,On Time,0.82
TKT-100111,B Campus,Office Tower,Elevator,Preventive,Low,Low,15-12-2025 19:40,15-12-2025 21:20,51:09.0,V-12,Backup,4,True,Misdiagnosis,6.17,100,Major Delay,0.36
TKT-100112,A Campus,Hospital,Electrical,Emergency,High,High,26-09-2025 18:04,26-09-2025 18:51,27:45.0,V-17,Standard,6,True,Approval Pending,7.39,47,Minor Delay,0.53
TKT-100113,B Campus,IT Park,Electrical,Preventive,Low,Low,24-12-2025 12:28,24-12-2025 13:34,31:18.6,V-11,Preferred,6,False,Approval Pending,4.04,66,On Time,0.8
TKT-100114,A Campus,Mall,HVAC,Preventive,Medium,Medium,18-08-2025 02:34,18-08-2025 03:32,03:46.1,V-25,Preferred,8,True,Part Unavailable,9.49,58,Minor Delay,0.69
TKT-100115,C Campus,IT Park,HVAC,Preventive,Medium,Medium,13-07-2025 19:10,13-07-2025 20:16,24:48.9,V-05,Standard,8,False,Misdiagnosis,5.24,66,On Time,0.69
TKT-100116,A Campus,Mall,Access Control,Preventive,Medium,Medium,30-08-2025 05:47,30-08-2025 06:42,58:53.1,V-05,Preferred,12,False,Repeat Failure,6.2,55,On Time,0.8
TKT-100117,C Campus,IT Park,HVAC,Preventive,Low,Low,07-10-2025 17:43,07-10-2025 18:36,12:12.8,V-05,Preferred,8,False,Repeat Failure,3.48,53,On Time,0.87
TKT-100118,A Campus,Hospital,HVAC,Preventive,Low,Low,07-10-2025 14:00,07-10-2025 15:34,50:57.4,V-20,Standard,8,True,Repeat Failure,8.84,94,Minor Delay,0.53
TKT-100119,A Campus,Mall,HVAC,Preventive,Medium,Medium,09-12-2025 10:20,09-12-2025 12:04,01:24.1,V-08,Backup,8,True,Technician Delay,12.67,104,Major Delay,0.37
TKT-100120,C Campus,Hospital,Plumbing,Preventive,Medium,Medium,15-08-2025 10:31,15-08-2025 11:50,00:15.5,V-19,Standard,10,True,Approval Pending,12.47,79,Minor Delay,0.52
TKT-100121,B Campus,Hospital,Plumbing,Preventive,Low,Low,06-10-2025 15:42,06-10-2025 16:45,17:12.8,V-16,Preferred,10,False,Technician Delay,5.57,63,On Time,0.84
TKT-100122,C Campus,IT Park,Access Control,Preventive,Low,Low,13-12-2025 06:43,13-12-2025 07:35,27:52.7,V-08,Standard,12,False,Misdiagnosis,4.74,52,On Time,0.67
TKT-100123,B Campus,IT Park,HVAC,Emergency,High,High,11-07-2025 08:11,11-07-2025 09:21,45:45.7,V-23,Standard,8,True,Technician Delay,8.57,70,Minor Delay,0.5
TKT-100124,B Campus,Mall,Plumbing,Emergency,High,High,08-07-2025 10:30,08-07-2025 11:48,29:06.6,V-03,Backup,10,True,Repeat Failure,14.98,78,Minor Delay,0.44
TKT-100125,B Campus,Mall,Plumbing,Preventive,Medium,Medium,15-10-2025 13:36,15-10-2025 14:44,11:14.2,V-20,Preferred,10,False,Repeat Failure,6.57,68,On Time,0.82
TKT-100126,A Campus,IT Park,Plumbing,Emergency,High,High,24-10-2025 21:00,24-10-2025 22:34,11:44.7,V-08,Backup,10,False,Repeat Failure,9.19,94,On Time,0.5
TKT-100127,B Campus,Mall,Access Control,Preventive,Medium,Medium,10-10-2025 15:36,10-10-2025 16:44,40:51.3,V-16,Standard,12,False,Approval Pending,7.07,68,On Time,0.74
TKT-100128,C Campus,Office Tower,Access Control,Preventive,Low,Low,19-08-2025 06:05,19-08-2025 06:36,44:03.3,V-25,Preferred,12,False,Part Unavailable,3.64,31,On Time,0.84
TKT-100129,A Campus,IT Park,Electrical,Preventive,Low,Low,15-10-2025 00:36,15-10-2025 01:57,39:58.6,V-05,Backup,6,False,Technician Delay,5.06,81,On Time,0.58
TKT-100130,C Campus,Office Tower,Plumbing,Preventive,Medium,Medium,26-08-2025 23:32,27-08-2025 00:44,47:47.7,V-18,Backup,10,False,Repeat Failure,7.26,72,On Time,0.52
TKT-100131,B Campus,IT Park,Elevator,Preventive,Medium,Medium,25-08-2025 13:22,25-08-2025 14:14,03:05.3,V-13,Preferred,4,False,Technician Delay,2.68,52,On Time,0.8
TKT-100132,B Campus,Office Tower,HVAC,Preventive,Low,Low,06-08-2025 06:37,06-08-2025 07:53,00:57.7,V-14,Standard,8,True,Repeat Failure,9.38,76,Minor Delay,0.5
TKT-100133,A Campus,Hospital,Access Control,Preventive,Medium,Medium,20-07-2025 22:08,20-07-2025 22:58,57:21.8,V-15,Standard,12,False,Repeat Failure,4.82,50,On Time,0.74
TKT-100134,C Campus,Hospital,Elevator,Emergency,High,High,23-08-2025 07:31,23-08-2025 08:56,52:42.8,V-22,Standard,4,True,Part Unavailable,5.36,85,Minor Delay,0.57
TKT-100135,A Campus,Mall,Access Control,Preventive,Medium,Medium,07-07-2025 18:10,07-07-2025 18:48,00:24.3,V-22,Preferred,12,False,Misdiagnosis,5.83,38,On Time,0.82
TKT-100136,B Campus,Hospital,Plumbing,Preventive,Medium,Medium,26-11-2025 04:13,26-11-2025 04:47,40:03.8,V-24,Preferred,10,False,Misdiagnosis,6.44,34,On Time,0.87
TKT-100137,B Campus,Office Tower,Electrical,Preventive,Medium,Medium,23-07-2025 20:48,23-07-2025 21:49,10:09.1,V-07,Standard,6,True,Misdiagnosis,7.36,61,Minor Delay,0.58
TKT-100138,A Campus,IT Park,Plumbing,Preventive,Medium,Medium,03-08-2025 12:38,03-08-2025 14:35,13:11.9,V-23,Backup,10,True,Technician Delay,15.58,117,Major Delay,0.43
TKT-100139,C Campus,Hospital,HVAC,Emergency,High,High,13-12-2025 07:38,13-12-2025 08:33,19:43.2,V-07,Standard,8,True,Approval Pending,8.69,55,Minor Delay,0.57
